date,rows
2022-03-15,43730
2022-03-16,43118
2022-03-17,40937
2022-03-18,39604
2022-03-19,41518
2022-03-20,39508
2022-03-21,39531
2022-03-22,30160
2022-03-23,41853
2022-03-24,36398
2022-03-25,30806
2022-03-26,41265
2022-03-27,31750
2022-03-28,24269
2022-03-29,36324
2022-03-30,27548
2022-03-31,20204
2022-04-01,40557
2022-04-02,45530
2022-04-03,44949
2022-04-04,44537
2022-04-05,44038
2022-04-06,50472
2022-04-07,47960
2022-04-08,45439
2022-04-09,47035
2022-04-10,48209
2022-04-11,45510
2022-04-12,44327
2022-04-13,43192
2022-04-14,39952
2022-04-15,40875
2022-04-16,41371
2022-04-17,41820
2022-04-18,36597
2022-04-19,38371
2022-04-20,35611
2022-04-21,35846
2022-04-22,35465
2022-04-23,34157
2022-04-24,38025
2022-04-25,33365
2022-04-26,31892
2022-04-27,30654
2022-04-28,26971
2022-04-29,23380
2022-04-30,22994
2022-05-01,35960
2022-05-02,43103
2022-05-03,42587
2022-05-04,44986
2022-05-05,45210
2022-05-06,43487
2022-05-07,43965
2022-05-08,44952
2022-05-09,42238
2022-05-10,42180
2022-05-11,44175
2022-05-12,44765
2022-05-13,43273
2022-05-14,45063
2022-05-15,44498
2022-05-16,42321
2022-05-17,44434
2022-05-18,42316
2022-05-19,43605
2022-05-20,43408
2022-05-21,43411
2022-05-22,44847
2022-05-23,39552
2022-05-24,36050
2022-05-25,33434
2022-05-26,31111
2022-05-27,28432
2022-05-28,27185
2022-05-29,27170
2022-05-30,29152
2022-05-31,25959
2022-06-01,33464
2022-06-02,37615
2022-06-03,37019
2022-06-04,40598
2022-06-05,41226
2022-06-06,40667
2022-06-07,39850
2022-06-08,40448
2022-06-09,37333
2022-06-10,38144
2022-06-11,37697
2022-06-12,38291
2022-06-13,36529
2022-06-14,38033
2022-06-15,39354
2022-06-16,39821
2022-06-17,41469
2022-06-18,41406
2022-06-19,40797
2022-06-20,43529
2022-06-21,43340
2022-06-22,42629
2022-06-23,42907
2022-06-24,41818
2022-06-25,41318
2022-06-26,42721
2022-06-27,38500
2022-06-28,31475
2022-06-29,31230
2022-06-30,32878
2022-07-01,35032
2022-07-02,38130
2022-07-03,36583
2022-07-04,37584
2022-07-05,39252
2022-07-06,41142
2022-07-07,42050
2022-07-08,43655
2022-07-09,43127
2022-07-10,45242
2022-07-11,42955
2022-07-12,46570
2022-07-13,46349
2022-07-14,47728
2022-07-15,45441
2022-07-16,44684
2022-07-17,44701
2022-07-18,42478
2022-07-19,40779
2022-07-20,43086
2022-07-21,41809
2022-07-22,42250
2022-07-23,45382
2022-07-24,45366
2022-07-25,43290
2022-07-26,39657
2022-07-27,37776
2022-07-28,31133
2022-07-29,29240
2022-07-30,28762
2022-07-31,31813
2022-08-01,40018
2022-08-02,41924
2022-08-03,39729
2022-08-04,37159
2022-08-05,38236
2022-08-06,40043
2022-08-07,41916
2022-08-08,42654
2022-08-09,41525
2022-08-10,42325
2022-08-11,40594
2022-08-12,39972
2022-08-13,42198
2022-08-14,42245
2022-08-15,41012
2022-08-16,39609
2022-08-17,42051
2022-08-18,40337
2022-08-19,38699
2022-08-20,43351
2022-08-21,43172
2022-08-22,43153
2022-08-23,41619
2022-08-24,37225
2022-08-25,35336
2022-08-26,37287
2022-08-27,39371
2022-08-28,39735
2022-08-29,38640
2022-08-30,40889
2022-08-31,38651
2022-09-01,35182
2022-09-02,36907
2022-09-03,36374
2022-09-04,36377
2022-09-05,37511
2022-09-06,37880
2022-09-07,41407
2022-09-08,40987
2022-09-09,44759
2022-09-10,46584
2022-09-11,46676
2022-09-12,43839
2022-09-13,43802
2022-09-14,44543
2022-09-15,44238
2022-09-16,43802
2022-09-17,44685
2022-09-18,46417
2022-09-19,43828
2022-09-20,43309
2022-09-21,41039
2022-09-22,42253
