database,schema,table,row_count,total_mb,used_mb
Megatron,dbo,obr_DoNotCallList_V10,1132,0.257812,0.257812
Megatron,dbo,zzz_Refund,1125,0.234375,0.179687
Megatron,dbo,ZipPublications,1108,0.046875,0.046875
Megatron,dbo,obr_DoNotCallList,1083,0.203125,0.187500
Megatron,dbo,zzz_ListingContact,1081,0.250000,0.203125
Megatron,dbo,Partner_Data,1080,0.507812,0.132812
Megatron,dbo,obr_VehicleSummary_V6,1078,0.132812,0.093750
Megatron,dbo,obr_EmailLeads_V10,1061,0.195312,0.179687
Megatron,dbo,zzz_AttributeSubClass,1056,0.078125,0.046875
Megatron,dbo,obr_EmailLeads_V7,1045,1.281250,0.500000
Megatron,dbo,zzz__Steven_Deactivates_Report,1021,0.140625,0.109375
Megatron,dbo,zzz_Leads1000Sample,1010,0.328125,0.289062
Megatron,dbo,ImgPrxy_Data,999,0.132812,0.085937
Megatron,dbo,obr_DoNotCallList_V6,989,0.195312,0.171875
Megatron,dbo,zzz_PlatformAutoDataForCompare,946,0.257812,0.242187
Megatron,dbo,zzz_DealerVault_INV_TEMP,928,0.453125,0.398437
Megatron,dbo,MissingCalls,927,0.203125,0.203125
Megatron,dbo,zzz_Temp_PetFinderShelters,883,0.132812,0.109375
Megatron,dbo,_AllFlightsOverride,870,0.687500,0.500000
Megatron,dbo,zzz_jtest,850,6.882812,6.773437
Megatron,dbo,zzz_ListingFlag,837,0.367187,0.335937
Megatron,dbo,obr_DoNotCallList_V7,835,0.257812,0.203125
Megatron,dbo,_Accounts_from_Banners_On_RCY,816,0.273437,0.257812
Megatron,dbo,zzz_parked_CrossLinks,811,0.140625,0.085937
Megatron,dbo,CraigsListRegionList,810,0.039062,0.039062
Megatron,dbo,obr_CustomerList_v2,768,0.140625,0.101562
Megatron,dbo,AccountPreferenceLog,763,0.437500,0.273437
Megatron,dbo,zzz_ResellerToRatchetLogin,756,0.054687,0.054687
Megatron,dbo,BadWords,749,0.046875,0.046875
Megatron,dbo,obr_CustomerList,744,0.054687,0.054687
Megatron,dbo,zzz_ADPLocalBusinessHours,744,0.054687,0.054687
Megatron,dbo,Tables_Sizes,724,0.140625,0.093750
Megatron,dbo,zzz_PreDefinedLinks,694,0.140625,0.093750
Megatron,dbo,DefZipRadius,677,0.046875,0.046875
Megatron,dbo,obr_CustomerList_V7_Short,670,0.554687,0.351562
Megatron,dbo,obr_CustomerList_v4,661,0.132812,0.109375
Megatron,dbo,obr_CustomerList_V10_Short,660,0.132812,0.062500
Megatron,dbo,AllScheduledJobsOnServer,659,0.398437,0.289062
Megatron,dbo,sf_sales_reps,632,0.070312,0.062500
Megatron,dbo,zzz_RateRegionOption,608,0.046875,0.046875
Megatron,dbo,zzz_GMailAccounts,599,0.054687,0.054687
