raw_db,raw_schema,raw_table,ops,n_files,sample_files
,dbo,juicereporting_blueskyserviceperformance,delete=1,1,etl/Juicebox Reporting/sp_remove_juice_data_for_inactive_clients.sql
,dbo,juicereporting_dataminingtool,delete=1,1,etl/Juicebox Reporting/sp_remove_juice_data_for_inactive_clients.sql
,dbo,juicereporting_extract_adhoc_customerjourney_clicks,delete=1,1,etl/Juicebox Reporting/sp_remove_juice_data_for_inactive_clients.sql
,dbo,juicereporting_leadperformance,delete=1,1,etl/Juicebox Reporting/sp_remove_juice_data_for_inactive_clients.sql
,dbo,juicereporting_marketing_summary,delete=1,1,etl/Juicebox Reporting/sp_remove_juice_data_for_inactive_clients.sql
,dbo,juicereporting_marketing_summary_contact_eng,delete=1,1,etl/Juicebox Reporting/sp_remove_juice_data_for_inactive_clients.sql
,dbo,juicereporting_marketingperformance,delete=1,1,etl/Juicebox Reporting/sp_remove_juice_data_for_inactive_clients.sql
,dbo,juicereporting_new_recipients,delete=1,1,etl/Juicebox Reporting/sp_remove_juice_data_for_inactive_clients.sql
,dbo,juicereporting_recipientloss,delete=1,1,etl/Juicebox Reporting/sp_remove_juice_data_for_inactive_clients.sql
,dbo,juicereporting_transaction_summary,delete=1,1,etl/Juicebox Reporting/sp_remove_juice_data_for_inactive_clients.sql
,dbo,juicereportingblueskycurrentleads,delete=1,1,etl/Juicebox Reporting/sp_remove_juice_data_for_inactive_clients.sql
,,dde_serp_branded_search,select_into=1,1,etl/Juicebox Reporting/sp_insert_JuiceReporting_DDE_SERP_Branded_Search.sql
,,juicereporting_mileone_send_loss_report,delete=2;insert=1,1,etl/Juicebox Reporting/sp_insert_JuiceReporting_MileOne_Send_Loss_Report.sql
,,juicereporting_mileone_hard_bounce,insert=1,1,etl/Juicebox Reporting/sp_insert_JuiceReporting_MileOne_Send_Loss_Report.sql
,,juicereporting_matchbacks,delete=1,1,etl/Juicebox Reporting/sp_JuiceReporting_extract_analytics_driver_matchbacks.sql
,,dde_web_optimization,select_into=1,1,etl/Juicebox Reporting/sp_insert_JuiceReporting_DDE_Web_Optimization.sql
,,juicereporting_hiddentable_marketingsummary,select_into=1,1,etl/Juicebox Reporting/sp_insert_JuiceReporting_HiddenTable_MarketingSummary.sql
,,juicereporting_email_links,insert=1,1,etl/Juicebox Reporting/sp_JuiceAnalytics_extract_Email_Links.sql
,,juicereporting_lead_source_index,select_into=1,1,etl/Juicebox Reporting/sp_insert_JuiceReporting_Lead_Source_Index.sql
,,juicereporting_calender_leadperformance_leadsourceindex,select_into=1,1,etl/Juicebox Reporting/sp_insert_JuiceReporting_Calender_LeadPerformance_LeadSourceIndex.sql
,,juicereporting_dde_summary_rollup,select_into=1,1,etl/Juicebox Reporting/sp_insert_JuiceReporting_DDE_Summary_Rollup.sql
,,juicereporting_email_events,insert=1,1,etl/Juicebox Reporting/sp_JuiceReporting_extract_Email_Events.sql
,,juicereporting_email_contact_clicks,insert=1,1,etl/Juicebox Reporting/sp_JuiceReporting_extract_Email_Contact_Clicks.sql
,,dde_reputation,select_into=1,1,etl/Juicebox Reporting/sp_insert_JuiceReporting_DDE_Reputation.sql
,,juicereporting_bluesky_serviceperf_v2,insert=1,1,etl/Juicebox Reporting/sp_insert_JuiceReporting_BlueSky_ServicePerf_V2.sql
,,juicereporting_cdxp_leadperformance_leadsourceindex,select_into=1,1,etl/Juicebox Reporting/sp_insert_JuiceReporting_CDXP_LeadPerformance_LeadSourceIndex.sql
,,juicereporting_leadperformance_leadsourceindex,update=1,1,etl/Juicebox Reporting/sp_insert_JuiceReporting_LeadPerformance_LeadSourceIndex.sql
,,mautic_contact_mapping_list,select_into=1;update=1,2,etl/Mautic/Contact Sync/sp_Update_Mautic_Contact_Mapping_List_RetryCount.sql | etl/Mautic/Contact Sync/sp_insert_mautic_contact_mapping_list.sql
,dbo,mautic_contact_mapping,merge=1,1,etl/Mautic/Contact Sync/sp_Insert_Mautic_Contact_Mapping_V2.sql
,,mautic_contact_mapping,update=1,1,etl/Mautic/Contact Sync/sp_update_mauticContactMapping.sql
,dbo,mautic_company_mapping,insert=1;update=1,1,etl/Mautic/Company Sync/sp_Insert_Mautic_Company_Mapping.sql
,dbo,mautic_owner_mapping,insert=1,1,etl/Mautic/Company Sync/sp_Insert_Mautic_Owner_Mapping.sql
,marketing,juicereporting_blueskycdxp_digitalstrategistproof,insert=1,1,etl/PostgreSQL (Analytics Mautic)/Client Advocate Proofs/sp_insert_juicereporting_blueskycdxp_digitalstrategistproof.sql
,,tbl_attribution_temp,insert=1,1,etl/PostgreSQL (Analytics Mautic)/Marketing Insights/sp_insert_attribution_data.sql
,marketing,tbl_attribution,insert=1,1,etl/PostgreSQL (Analytics Mautic)/Marketing Insights/sp_insert_attribution_data.sql
,archived,analytics_matchbacks_60_legacy,insert=1,1,etl/PostgreSQL (Analytics Mautic)/Archival & Deletion/archive_one_year_data.sql
,archived,attribution,insert=1,1,etl/PostgreSQL (Analytics Mautic)/Archival & Deletion/archive_one_year_data.sql
,archived,calendar,insert=1,1,etl/PostgreSQL (Analytics Mautic)/Archival & Deletion/archive_one_year_data.sql
,archived,campaign,insert=1,1,etl/PostgreSQL (Analytics Mautic)/Archival & Deletion/archive_one_year_data.sql
,archived,contact,insert=1,1,etl/PostgreSQL (Analytics Mautic)/Archival & Deletion/archive_one_year_data.sql
,archived,engagement,insert=1,1,etl/PostgreSQL (Analytics Mautic)/Archival & Deletion/archive_one_year_data.sql
,archived,event,insert=1,1,etl/PostgreSQL (Analytics Mautic)/Archival & Deletion/archive_one_year_data.sql
,archived,message,insert=1,1,etl/PostgreSQL (Analytics Mautic)/Archival & Deletion/archive_one_year_data.sql
,archived,offboarded_clients_deletion_logs,insert=1,1,etl/PostgreSQL (Analytics Mautic)/Archival & Deletion/archive_one_year_data.sql
,,deleted_engagements,select_into=1,1,etl/PostgreSQL (Analytics Mautic)/Archival & Deletion/delete_offboarded_client_data.sql
,,deleted_contacts,select_into=1,1,etl/PostgreSQL (Analytics Mautic)/Archival & Deletion/delete_offboarded_client_data.sql
,marketing,engagement,delete=1,1,etl/PostgreSQL (Analytics Mautic)/Archival & Deletion/delete_offboarded_client_data.sql
,marketing,contact,delete=1;insert=1,2,etl/PostgreSQL (Analytics Mautic)/Archival & Deletion/delete_offboarded_client_data.sql | etl/PostgreSQL (Analytics Mautic)/Contact & Engagement Build Process/upsert_contact.sql
,marketing,message,insert=1,1,etl/PostgreSQL (Analytics Mautic)/Sync Processes/upsert_message.sql
,marketing,event,insert=1,1,etl/PostgreSQL (Analytics Mautic)/Sync Processes/upsert_event.sql
,marketing,client_temp,update=1,1,etl/PostgreSQL (Analytics Mautic)/Sync Processes/update_client_flags.sql
,marketing,campaign,insert=1,1,etl/PostgreSQL (Analytics Mautic)/Sync Processes/upsert_campaign.sql
,marketing,lead_video_avgtimeviewed,insert=1,1,etl/PostgreSQL (Analytics Mautic)/Sync Processes/upsert_lead_video_avgtimeviewed.sql
,marketing,cdxp_watch,insert=23,1,etl/PostgreSQL (Analytics Mautic)/CDXP Watch Rule/cdxp_watch_rule.sql
