component,subject,total,exceptions,days_active,first_seen,last_seen
RLScriptService,CustomerInventoryCalculatedUpdateFromAzure.ps1,11467,3,81,2026-03-26 23:00:24.523000,2026-06-14 14:10:17.983000
RLScriptService,RetryTxnAuto.ps1,11467,2,81,2026-03-26 23:02:53.803000,2026-06-14 14:12:00.850000
RLScriptService,ReactivationMsgFromAzure.ps1,11467,2,81,2026-03-26 23:01:17.133000,2026-06-14 14:11:03.947000
RLScriptService,FranchiseVehicleConfigClientUpdateMsgFromAzure.ps1,11467,2,81,2026-03-26 23:01:25.227000,2026-06-14 14:11:05.910000
RLScriptService,UnsubscriptionEmailMsgFromAzure.ps1,11467,3,81,2026-03-26 23:01:17.650000,2026-06-14 14:10:50.107000
RLScriptService,FranchiseConsumerExport.ps1,11467,4,81,2026-03-26 23:01:57.367000,2026-06-14 14:11:34.567000
RLScriptService,FranchiseConsumerTxnCreateFromAzure.ps1,11467,3,81,2026-03-26 23:01:18.507000,2026-06-14 14:11:00.213000
RLScriptService,SpamComplaintMsgFromAzure.ps1,11467,3,81,2026-03-26 23:01:17.210000,2026-06-14 14:10:50.107000
SQL execute_every_10_mins_Receivers,EXECUTE dbo.lead_disposition_reporter_status_receiver,11466,0,81,2026-03-26 23:01:00.680000,2026-06-14 14:10:00.810000
SQL execute_every_10_mins_Receivers,EXECUTE dbo.franchise_vehicle_quote_calculate_pricing_receiver,11465,0,81,2026-03-26 23:01:00.633000,2026-06-14 14:10:00.747000
SQL execute_every_10_mins_Receivers,EXECUTE dbo.create_web_campaign_log_receiver,11465,0,81,2026-03-26 23:01:00.650000,2026-06-14 14:10:00.763000
SQL execute_every_10_mins_Receivers,EXECUTE dbo.audit_trail_create_receiver,11465,0,81,2026-03-26 23:01:00.650000,2026-06-14 14:10:00.747000
SQL execute_every_10_mins_Receivers,EXECUTE dbo.franchise_consumer_subscription_receiver,11465,0,81,2026-03-26 23:01:00.663000,2026-06-14 14:10:00.793000
SQL execute_every_10_mins_Receivers,EXECUTE dbo.reactivate_consumer_status_receiver;,11465,0,81,2026-03-26 23:01:00.663000,2026-06-14 14:10:00.763000
FranchiseVehicleQuoteBlobExport,Exporting FVQ Blobs complete ...,11463,0,81,2026-03-26 23:01:01.150000,2026-06-14 14:11:01.470000
FranchiseVehicleQuoteBlobExport,Exporting FVQ Blobs started ...,11463,0,81,2026-03-26 23:01:01.150000,2026-06-14 14:11:01.470000
FranchiseVehicleQuoteBlobExport,FranchiseVehicleQuoteBlobExport started ...,11463,0,81,2026-03-26 23:01:01.117000,2026-06-14 14:11:01.470000
franchise_consumer_subscription_upsert,Params,10338,0,81,2026-03-26 23:11:00.287000,2026-06-14 14:10:00.810000
RLScriptService,FranchiseConsumerRepReassign.ps1,7645,4,81,2026-03-26 23:01:13.367000,2026-06-14 14:00:40.437000
execute_every_60_mins_quick_process,Salesforce Processing,3824,0,81,2026-03-26 23:03:00.453000,2026-06-14 14:03:02.487000
execute_every_60_mins_process,Clean up cache_campaign_action,3824,0,81,2026-03-26 23:01:00.837000,2026-06-14 14:01:01.310000
execute_every_60_mins_process,Invoke custom_pause_smart_follow_process,3824,0,81,2026-03-26 23:01:00.850000,2026-06-14 14:01:01.310000
execute_every_60_mins_process,Invoke smart_follow_process,3821,0,81,2026-03-26 23:01:00.633000,2026-06-14 14:01:01.310000
execute_every_60_mins_quick_process,Invoke homenet_inventory_import_process,2072,0,81,2026-03-26 23:03:00.453000,2026-06-14 07:03:00.900000
RLScriptService,LeadDetailReport.ps1,1982,1982,2,2026-04-27 01:00:23,2026-04-28 01:45:31.477000
execute_every_60_mins_quick_process,AuthenticomImport.ps1,1912,0,81,2026-03-26 23:03:00.453000,2026-06-14 14:03:02.503000
RLScriptService,AuthenticomImport.ps1,1912,1,81,2026-03-26 23:03:43.020000,2026-06-14 14:03:21.273000
franchise_rep_update_pending_process_2,"franchise_rep_update_pending_process_2, Line: 246",1539,1539,80,2026-03-27 07:07:01.050000,2026-06-14 13:22:00.617000
franchise_consumer_subscription_queue,Null franchise_consumer_id,1372,1372,7,2026-04-23 10:20:01.070000,2026-06-13 14:32:01.330000
execute_every_60_mins_sa_process,oem_vehicle_locator_build_clean_up_process,796,0,80,2026-03-27 06:01:02.373000,2026-06-14 14:01:01.123000
RLScriptService,QueueMonitor.ps1,680,680,3,2026-04-26 11:40:12.847000,2026-04-28 11:05:14.653000
InitiateCampaign,IC: Prospect ID Update Log,647,0,80,2026-03-27 05:51:01.190000,2026-06-14 13:14:00.533000
"InitiateCampaign, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null",GetInitiateCampaignSupplementReaderData Failure,510,510,63,2026-03-27 11:51:00.887000,2026-06-14 07:42:02.783000
RLScriptService,SmartFollowSummaryReport.ps1,499,0,2,2026-04-27 01:00:24.517000,2026-04-28 01:09:52.727000
RLScriptService,SqlAzureExecute.ps1,480,0,81,2026-03-26 23:03:17.683000,2026-06-14 11:03:38.530000
process_log_upsert,"process_log_upsert, Line: 19",396,396,36,2026-03-27 10:48:00.543000,2026-06-09 09:20:01.130000
RLScriptService,VehicleConfigFollowUpUpdateMsgFromAzure.ps1,381,381,3,2026-04-26 11:40:12.817000,2026-04-28 10:55:13.457000
QuoteVehicleSelection,ApplyDealerInventoryPricingUpdates Failure,367,367,45,2026-03-30 02:56:00.327000,2026-06-13 13:31:01.043000
execute_every_60_mins_quick_process,Invoke SqlAzureExecute franchise_sql_azure_execute_reader,320,0,81,2026-03-26 23:03:00.470000,2026-06-14 11:03:00.820000
execute_every_60_mins_quick_process,Invoke SqlAzureExecute customer_sql_azure_execute_reader,320,0,81,2026-03-26 23:03:00.470000,2026-06-14 11:03:00.807000
execute_every_60_mins_quick_process,Invoke SqlAzureExecute vehicle_sql_azure_execute_reader,320,0,81,2026-03-26 23:03:00.483000,2026-06-14 11:03:00.820000
RLScriptService,SMTPDomainFunctions.ps1,241,0,34,2026-03-27 10:47:51.113000,2026-06-09 09:19:33.260000
ndr_log_process,Email NDR without FC,228,0,75,2026-03-27 02:32:00.110000,2026-06-14 12:17:00.523000
