database,schema,table,column,data_type
oltp,dbo,toyota_incentive,created_date,datetime
oltp,dbo,toyota_incentive,incentive_expiration_date,datetime
oltp,dbo,toyota_incentive,last_updated_date,datetime
oltp,dbo,txn,created_date,datetime
oltp,dbo,used_lead_delivery,last_updated_date,datetime
oltp,dbo,user_interactions_simple,date,datetime
oltp,dbo,vehicle,created_date,datetime
oltp,dbo,vehicle,last_updated_date,datetime
oltp,dbo,vehicle_config_client,last_contacted_date,datetime
oltp,dbo,vehicle_config_client,last_updated_date,datetime
oltp,dbo,vehicle_config_client,last_work_item_result_update_date,datetime
oltp,dbo,vehicle_number_log,Updated,datetime
oltp,dbo,vehicle_oem_vehicle_map,created_date,datetime
oltp,dbo,vehicle_oem_vehicle_map,last_updated_date,datetime
oltp,dbo,vehicle_option,last_updated_date,datetime
oltp,dbo,vehicle_option_oem_vehicle_option_map,created_date,datetime
oltp,dbo,vehicle_option_oem_vehicle_option_map,last_updated_date,datetime
oltp,dbo,zip_code,last_updated_date,datetime
oltp_Archive,dbo,ChatStatistics,lead_date,datetime
oltp_Archive,dbo,ChatStatistics,processingTime,datetime
oltp_Archive,dbo,ChatStatistics,reviewingTime,datetime
oltp_Archive,dbo,franchise,created_date,datetime
oltp_Archive,dbo,franchise,last_updated_date,datetime
oltp_Archive,dbo,franchise,status_reset_date,datetime
oltp_Archive,dbo,franchise_consumer_txn,created_date,datetime
oltp_Archive,dbo,franchise_consumer_txn,txn_date,datetime
oltp_Archive,dbo,franchise_consumer_txn_old,created_date,datetime
oltp_Archive,dbo,franchise_consumer_txn_old,txn_date,datetime
oltp_Archive,dbo,lead,created_date,datetime
oltp_Archive,dbo,lead,last_contact_date,datetime
oltp_Archive,dbo,lead,lead_date,datetime
oltp_Archive,dbo,lead,next_contact_date,datetime
oltp_Archive,dbo,lead_additional_info,created_date,datetime
oltp_Archive,dbo,lead_history,created_date,datetime
oltp_Archive,dbo,lead_history,history_date,datetime
oltp_Archive,dbo,smart_quote,created_date,datetime
oltp_Archive,dbo,smart_quote,smart_quote_date,datetime
